,Marca de la moto,Modelo,Precio de la moto,Tipo de Carné,Tipo de moto,Versión / Año,Web del fabricante,Cilindrada,Potencia Máxima Declarada,Altura asiento
153,Ducati,Panigale V4 S 2021,31.890 €,A,Deportiva,2021,https://www.ducati.com/es/es/,1.103 cc,214 cv,835 mm
154,Ducati,Panigale V4 2021,26.490 €,A,Deportiva,2021,https://www.ducati.com/es/es/,1.103 cc,214 cv,835 mm
155,Ducati,Panigale V2 2021,18.490 €,A,Deportiva,2021,https://www.ducati.com/es/es/,955 cc,155 cv,840 mm
156,Ducati,Supersport 950 S 2021,15.990 €,A,Deportiva,2021,https://www.ducati.com/es/es/,937 cc,110 cv,810 mm
157,Ducati,Supersport 950 2021,13.990 €,A,Deportiva,2021,https://www.ducati.com/es/es/,937 cc,110 cv,810 mm
158,Ducati,Multistrada V4 S 2021,23.990 €,A,Trail,2021,https://www.ducati.com/es/es/,1.158 cc,170 cv,840 mm
159,Ducati,Multistrada V4 2021,20.890 €,A,Trail,2021,https://www.ducati.com/es/es/,1.158 cc,170 cv,840 mm
160,Ducati,Scrambler 1100 Pro 2020,13.790 €,A/A2,Naked,2020,https://www.ducati.com/es/es/,1.079 cc,86 cv,810 mm
161,Ducati,Scrambler 1100 Sport Pro 2020,15.790 €,A/A2,Naked,2020,https://www.ducati.com/es/es/,1.079 cc,86 cv,810 mm
162,Ducati,Multistrada 1260 Grand Tour 2020,22.890 €,A,Trail,2019,https://www.ducati.com/es/es/,1.262 cc,158 cv,825 mm
163,Ducati,Panigale V4 S 2020,31.590 €,A,Deportiva,2019,https://www.ducati.com/es/es/,1.103 cc,214 cv,830 mm
164,Ducati,Panigale V4 2020,26.190 €,A,Deportiva,2019,https://www.ducati.com/es/es/,1.103 cc,214 cv,830 mm
165,Ducati,Panigale V2 2020,18.490 €,A,Deportiva,2019,https://www.ducati.com/es/es/,955 cc,155 cv,840 mm
166,Ducati,Streetfighter V4 S 2020,25.490 €,A,Naked,2020,https://www.ducati.com/es/es/,1.103 cc,208 cv,845 mm
167,Ducati,Streetfighter V4 2020,21.990 €,A,Naked,2020,https://www.ducati.com/es/es/,1.103 cc,208 cv,845 mm
168,Ducati,Monster 1200 S Black on Black 2020,18.090 €,A,Naked,2019,https://www.ducati.com/es/es/,1.198 cc,150 cv,795 mm
169,Ducati,Panigale V4 25 Aniversario 916,48.000 €,A,Deportiva,2019,https://www.ducati.com/es/es/,1.103 cc,214 cv,830 mm
170,Ducati,Panigale V4 R 2019,39.990 €,A,Deportiva,2019,https://www.ducati.com/es/es/,998 cc,221 cv,830 mm
171,Ducati,950 Hypermotard SP 2019,16.890 €,A,Deportiva,2019,https://www.ducati.com/es/es/,937 cc,114 cv,870 mm
172,Ducati,950 Hypermotard 2019,16.890 €,A,Deportiva,2019,https://www.ducati.com/es/es/,937 cc,114 cv,870 mm
173,Ducati,Monster 797 Plus 2019,9.090 €,A/A2,Naked,2019,https://www.ducati.com/es/es/,803 cc,75 cv,805 mm
174,Ducati,Monster 821 Stealth 2019,12.590 €,A,Naked,2019,https://www.ducati.com/es/es/,821 cc,109 cv,785 mm
175,Ducati,Multistrada 950 2019,14.390 €,A,Trail,2019,https://www.ducati.com/es/es/,937 cc,113 cv,840 mm
176,Ducati,Multistrada 950 S 2019,16.390 €,A,Trail,2019,https://www.ducati.com/es/es/,937 cc,113 cv,840 mm
177,Ducati,1260 Diavel S 2019,23.590 €,A,Custom,2019,https://www.ducati.com/es/es/,1.262 cc,159 cv,780 mm
178,Ducati,1260 Diavel 2019,20.390 €,A,Custom,2019,https://www.ducati.com/es/es/,1.262 cc,159 cv,780 mm
179,Ducati,XDiavel S 2019,23.790 €,A,Custom,2019,https://www.ducati.com/es/es/,1.262 cc,156 cv,755 mm
180,Ducati,Multistrada 1260 Enduro 2019,21.890 €,A,Trail,2019,https://www.ducati.com/es/es/,1.262 cc,158 cv,860 mm
181,Ducati,Scrambler Cafe Racer 2019,11.690 €,A/A2,Naked,2019,https://www.ducati.com/es/es/,803 cc,73 cv,805 mm
182,Ducati,Scrambler Desert Sled 2019,11.790 €,A/A2,Trail,2019,https://www.ducati.com/es/es/,803 cc,73 cv,860 mm
